channelId,channelName,viewCount,subscriberCount,videoCount,uploads,videoIDs
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,16610549375,59800000,398,UURijo3ddMTht_IHyNSNXpNQ,"9o__c8wNd3I,IVQ1bPX1m9U,0xSUlLmlN8k,muUL8kOqeyE,y2Zodskd13I,OPoqBIEvoj0,QBKR12mIdso,aB2wvo7PEq4,kd-ABokZCkA,Q_eXhFMjBgA,cvY4ZLAe07E,eFmpqhvedt8,gvO45dfota4,Y2xfYQ5sV8A,Nt240HomM7U,tk0S7JNxnd8,OdU_emI6KrE,U69q07-7IgA,R8LiwncUVnM,T2fxrJ6ZmfY,t9rgimw2f6Q,_h5DdzUtrXk,ZYW2lWLpLuo,Ey_vGhau7ho,Y5tYxXd4kus"
UC2C_jShtL725hvbm1arSV9w,CGP Grey,950383407,6000000,181,UU2C_jShtL725hvbm1arSV9w,"bgR3yESAEVE,l4w6808wJcU,BHMF-FlkqPw,U0wTDK0VOeY,jfOUVYQnuhw,Aw9M7dKV0oQ,qD6bPNZRRbQ,8Fn_30AD7Pk,fSwpe8r50_o,d6tgmGqXysM,qEV9qoup2mQ,9LMr5XTgeyI,xJmVuW8atO8,_8xhdL8BPvU,-FBwZtuJtMw,pUF5esTscZI,qC5h9zcHmPA,FWP41MXLMGY,gqMxf52CCmk,lvdlzV69IeY,thOifuHs6eY,boezS4C_MFc,dDYFiq1l5Dg,t4jhoU8QCbw,SVmEXdGqO-s"
UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,3218664499,20000000,483,UU6nSFpj9HTCZ5t-N3Rm3-HA,"-URHimp1bJc,zjIE3S1LeD0,4Nv1qRjJMII,jqoAqJG8WwA,A35B8F5jBp0,O2hMIsSl93E,B_pDZi0kxKw,mQuvEHEARZg,IoKZC7zfdEA,jEIfKpzpo54,7Gq2k2-3SEM,_Na3a1ZrX7c,1FfVpblg5Yw,t-v90W9n6mQ,asTywgpiSkQ,zuhtkPLQ-zg,LnxV2DnCfB4,ffxOWSvnonQ,dTG8VKKU4h0,fAJHGb016CY,dzQgiEOjflE,3oFq6cqZJ3w,zzCpwx8LEL0,OiUdSeinSz4,xkGjfoQg63Y"
UCoal_hpPIPAnWlG-kWHLheA,Drawfee Show,411278412,1850000,1352,UUoal_hpPIPAnWlG-kWHLheA,"O0QJvMnNeEU,bFx3TkWCCig,J7SO0tkqYcg,JukjwmAXSBY,ANrQiFG0rkU,Q8QxkcAxWwM,SrSMwY9Pw3c,OIkGDD-G4rg,wqJ7c5knkbQ,iZfCkBKDwMk,AhqONhHudUE,1oW5MulGFWw,19uqc-gOdLk,QyP-8Fqm39E,VreRkhIKHtk,HF6tIclMzlk,cxCCEBlHq7Y,PR9YJETcNZg,06Mf3lzHO5c,MF8YiBLrG_0,GeJRF52rmHY,xvmgMzpiPY4,bpBrL9LwB4s,SIBHKsTq7U0,7kJe2S9tSuc"
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,3924427512,25900000,126,UUY1kMZp36IQSyNx_9h4mpCg,"DUIjzXxUZNQ,9c2NqlUWZfo,jq8JPNGzYd4,fltt6z6pcx8,rWMWYrcwZWU,lcIObyvI3uw,0ENZe0ckmxA,md75n8cyenA,-K8xL6laeEU,1UTjWy-vnOo,D8Gz_uOBtG0,T9xsTO6ujqM,eMeRRgeS4Ow,mWDLkNsWjgg,1g4eGf7394I,uXUKVWV7FOQ,DOWDNBu9DkU,2JAOTJxYqh8,iWeu2dxHRDg,DPaWiXZmcb4,BYVZh5kqaFg,zAwo5RqhXB4,lg5wznn3IBE,Rsxao9ptdmI,h8g9wfI9nGI"
UCWwqHwqLSrdWMgp5DZG5Dzg,Troom Troom,10499784505,23800000,2533,UUWwqHwqLSrdWMgp5DZG5Dzg,"_muduRz4nY0,NwBn4aVdgFw,2Yiz2NersGY,ohSg0qmXd6g,utPBhgu3N2I,YPrx-p6j4rk,fU0K9OJquAY,ZHhN0aiYrsY,nzLAuo_vCBo,bftO-kTRPro,gRnJk5QDK7Y,tuZnLQhRsRU,I31NnsdGpYA,QnP2mPrkloY,Ro3Oex5FyQg,QhQ-aZZuAD4,_J0q482RlY4,sNQqHU4Tog8,sZTY54r3ScQ,F_I-dEDBhCE,CLVc3jeEi7s,QRsy0jKHx_k,oTvGsEHZQC4,KbLOpmelMq8,XIL-IyK5bSQ"
UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,7325475086,15400000,6602,UUXuqSBlHAE6Xw-yeJA0Tunw,"oKTmhPEWsMo,VJFaXwnixxM,OskeOonpJZI,yFujQ4xvi9o,4yUMOK9dOQc,akxU62laPMk,z9XWN7u8mSU,zR6vzJPlKrg,EreRkDMIn6A,mXBzBFxe00o,Fyc2k73OHbw,r4NL2e6jJ04,D0imrHdv88k,HIhgMt_qYpw,xXXQ9LaEONM,-evZD-qK5LA,7KuLMe6KSVQ,xuaIhbXHsUs,u4RkkjiYu0k,HHKZTFGUZS0,gggehz298L8,a_e_zW8EXoY,jCuEBVbmPcA,z6alcVTRJMo,oWXRkO9pmHM"
UCTkXRDQl0luXxVQrRQvWS6w,Dream,3049817863,31900000,118,UUTkXRDQl0luXxVQrRQvWS6w,"iWTs1BWCqrE,uvebNBKOSTg,EKUMdQjFKgM,_BZIxt07UNU,fFCzRv1yLlQ,_GSc0ldz4TE,OsdQExBRPqA,CtpdMkKvB6U,wwkH0prchjQ,C6P6hrWyidA,cIY95KCnnNk,_0MXhG1shEc,Ht9v8YLy-O4,44wLAzydRFU,ss-JeDZY_oE,qqOxkuO3ip0,FXcLiqIKdmw,RJ0jdO5ZfU4,cT7wOSOZVoc,a8ds6SnOGow,k4v6slOxxXs,hDkuUZ3F1GU,R7klyFU_6xM,Sxgj9unnN6E,zwk1ss3QKPE"
UCiWLfSweyRNmLpgEHekhoAg,ESPN,11199518150,10300000,71016,UUiWLfSweyRNmLpgEHekhoAg,"3kqUDOvkJaY,cG43gpqrlQM,UnuvI2_IVWs,6iaxod2nC7I,2GWiJRyzs80,q633e6O-3ys,TvWFUvKta7A,kFY110OCnvE,xo__X8-Xd5k,lFSL7idBzX0,s4X8-EpVEBE,3_yAVJG0wqo,bozjoJizo1I,cYA2waUXKgc,w_QqikrCYsg,EsuoWoaSRmg,Fc66aNFX45s,L8KvX8saEtg,cdNUAhlfJfM,sST5T7AMQk8,UXfNVWtqCVg,5aWuy1lUY1I,OnxkbwCRsRA,A1BAE2DPgyc,ykQCDgauaiI"
UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,31059696367,54300000,220,UUqECaJ8Gagnn7YCbPEzWH6g,"KzNLM4nmRak,US0OipWyYro,KudedLV0tP0,0FZULHCZKBc,okPrv0o_7GQ,lVkKLf4DCn8,vO6JqQpJboY,maEVfpxDB8k,idWma942CUI,oxNLRqMJMZk,hMPK2vNXr-E,qc2Z-OX9wnc,osmzwWw4RYM,UlFrV5GJA_4,pRhWAXg4xek,igIfiqqVHtA,jOD86iMAEY0,V80A8qN4fR8,IYqgVYjN3Go,EH70M5OeS4o,F5TMU6916U8,N-FYySSy0rM,Fn0er7H1Dm0,PH8Uc0Z_KRY,JlZnvyBqceY"
UCt7fwAhXDy3oNFTAzF2o8Pw,theneedledrop,968462209,2780000,4202,UUt7fwAhXDy3oNFTAzF2o8Pw,"wQp2syFoaaw,DlfSr1gmHzQ,T4S-1Q5Zu_k,gn8w8I5fCvw,__50wHve7KE,aG8Nhh5PIRM,0OwA_RuEe4w,b4OBfhL8ufg,2i7ouACvcwg,bKZ-SNiM8H0,ps8y1DDGdVc,9WAqeAKu14Q,t0C_W4niwe4,YW_4bcFHknU,2ArXqOIywwU,XHUCNultBII,siWK6kRJRYo,Utw21kC70ac,79x180EuHTc,tigRRrdFrz0,uExkQQt1ejU,WIwi-zWDNt8,_XobZZ0ZNdY,yL_LaPc7cjU,CMtF6MfyNyo"
UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,5388615306,10500000,5365,UUwWhs_6x42TyRM4Wstoq8HA,"ZBiQU4Fr4CE,l4emoGmxvEI,icyeiB0gmGw,_Eng0U_Gfdc,2sVsr4QpT1s,TjtRHBmWOb4,XKDVH_L0LC8,4pKPxKNmOII,MMGJmEKrM5k,FGBNTspdbLo,A-PCB3X3tHg,iWPKQZuuPtA,UEhdw0RXNU0,BBCIfy8-gWQ,PRVvp0sB0H4,2Hw2bHIuaoo,lgE2sb1oKn0,z_Cx5FklJ7E,5YfLX8FENO4,_6RRP-JuVpk,jQMkuJoo70U,BAEUeaopMhg,EnWvyK9atB0,35C28nJUzlA,srt1kLfLOSk"
UClFSU9_bUb4Rc6OYfTt5SPw,Philip DeFranco,1879500433,6440000,1728,UUlFSU9_bUb4Rc6OYfTt5SPw,"SnGaLN4JC-0,7PQ6Sx4pYMc,ZxIRBo3I31I,C0gIuhlrb3I,ezlaFlqKXQU,R42w2HpPyJ8,XCMJizsqPfw,rVNgJwyvu28,Bao3GUzp2Ao,P6Q3QIbru6s,rlqDtlL1OmI,LxR6WLZHq-8,4OCaX0N0bJ8,CQi1ibdlig0,Dt-rYPCi2Ks,wvdms9Rkw5Y,sQRVzGMicfM,cbhaakyrbxY,jlIyMJLv14w,YYv9I7JzXEM,OaCarcKyOGg,EjmiSQJHqE0,oKJohgT5xR8,mIa9qCrOyX8,SV-4-a6Pm8U"
UCsvn_Po0SmunchJYOWpOxMg,videogamedunkey,3803076998,7430000,817,UUsvn_Po0SmunchJYOWpOxMg,"TRiOjUh6DbY,kAIVMhja4CI,B4JWMxV8pz0,Erj_sp8KObs,L4xwfHR_8O4,_e8sH65X-hc,WUNjqt_pgPg,Kw51fkRiKZU,zciIG2b3SV8,AhoQ96DVL4M,iUMgIPlWHO8,sZaKNXNsWWo,w0acyYZAfio,VyQdn5bwF_Q,lpFXlkjAurc,mddj9MvvmOo,ML37hWDdfRs,OuJ4Uisp0Bo,iuK3dS4N2_A,sKF8nYGx27Q,0BqgeI1YsZc,kab-fOsrq_Q,Z0zxlh63RtQ,iyFl1_ZnWfQ,3OV4VaNW4FU"
UCHL9bfHTxCMi-7vfxQ-AYtg,Abroad in Japan,456730487,2890000,263,UUHL9bfHTxCMi-7vfxQ-AYtg,"Z66XK3zu5Fs,xYmiU5PSyE0,6DQYFfO7BQk,qy1E2I-UlH8,gm-xCi0HLCw,GdWShkRaOzw,Lg4wxOeZTQM,bx3gFfYDsYg,OkpH7sQXBwc,iA5MvmZfc7s,T_fYI4Ksz1Q,zjmCkr-hd50,R2RJ91R_AAw,Zzpu24JveJs,EcZG5RfqTdA,VY5uZWFc_UQ,DdSuBlT8Iyo,DMw3OttWVvQ,ACmsPRWxA2o,qgYZrPf5kgY,mJ7vQo7Ks3Q,7GbIjN55C8Q,MBr9bOKPUMc,1u1jbyNzB9M,rImHmkioSXE"
UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty,5860686278,21200000,4840,UUJFp8uSYCjXOMnkUyb3CQ3Q,"ix49-QEs2b4,T5lQa0k0L30,EmwwwMS_Ub8,Wb5o710yAjs,_luq2IA8daY,am9hVdIjHXY,gTmFuhmdL4k,yXGOUYn7yas,wW9ckzLCi2g,FgJz8zN5a-I,5eH5EEqH3DA,bynyeJ3KUB0,IgG4IwFMFlk,ss_Ja_cO_yY,IIVfLdEF9cQ,2t6dHsTGGIY,_1Gok83fuXY,kmv3cOEhQEE,vAVa-yvC8XU,NoU8bHnxWqM,-fluBrycxtY,U8M8Rm_kD34,BVECp0x1K4U,7O1fIefmprY,x7WGRVez4oo"
UCkvK_5omS-42Ovgah8KRKtg,jeffreestar,2581491595,15800000,432,UUkvK_5omS-42Ovgah8KRKtg,"ZbktVQyUd88,wv-BbSdZkLo,EGQpYsgUPgY,3jVZg8VWahE,Vw1ZW6JufYQ,Tcn-Z_gvqT4,EyqwMvp09UE,NtXAdHqAi9E,Qlxe5a2mXFc,cbOrT2JOT60,JbyGgiNY4tY,5XP_6F6G2D0,zCyh-hb6s_c,ofnLRk6rsys,TyZKKAySrdY,ND3fy0GFBhw,fHk-_GU3PZs,9Q0IuAmBBpA,OiDXZlvjii0,FNwr8CHCKNA,kLfBA1sZaMU,DsY5TEgRdgU,fb7tBDWfvTs,_4cLcPPMNWA,LnoEaI6Y2ec"
UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,2246236529,14200000,374,UUHnyfMqiRRG1u-2MsSQLbXA,"Is2Lip1cJUc,ILgSesWMUEI,8DBhTXM_Br4,ZjBgEkbnX2I,FkKPsLxgpuY,Xzv84ZdtlE0,lfkjm2YRG-Q,DxL2HoqLbyA,6bgNm9l_3qU,tRaq4aYPzCc,ZMQbHMgK2rw,FU_YFpfDqqA,vSNtifE0Z2Q,rWVAzS5duAs,w7yFikRD_iQ,-UrdExQW0cs,g0amdIcZt5I,LCQu8EXiDAA,LY6xeFpBeMQ,uDeQB9OkoXY,XeSu9fBJ2sI,Ko02mUWhItA,rmxh8Nty_eo,vS0TuIPoeBs,Tmy7VYhZEKQ"
UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,1864401144,15000000,1497,UUX6b17PVsYBQ0ip5gyeme-Q,"4joZpdXeS4A,i-VeKZeyHZs,fBOrzQP423A,eLt9itd3KhA,2TSIUt-lHyo,FlkHfAWadaM,IALw687nswo,oZtUFJAJ3lU,HsAUGbUgx6Y,b8avl_V8Jbo,Y1mPWVzaGQY,5ryUVuISxzg,KfHYN6tZnpU,Ox4bHA9fGGY,yGYnwMSflBU,tnIi9fzXPXk,usKrCTtArNc,aO3Yp45zmw8,cjR5zPrVjTc,rrLZPDGNr6w,ciGqnGFWqBs,rgZhDoPgzK8,WzOrF5W4l3Q,pqosCR6J2qo,xOLcZMw0hd4"
UCGwu0nbY2wSkW8N-cghnLpA,Jaiden Animations,2348547671,12000000,143,UUGwu0nbY2wSkW8N-cghnLpA,"3Sute3kqzo4,A7M7JWqi64c,_N8qNYcs0Z4,8FDKPMtcZ68,JkS1UGFZDZI,q0NpLeUMBx4,rC9GYy_0MOE,L52yC8fKi4E,2chxBH3kK7Q,JgspK2htDNs,9astxTYL_RI,95mBQv5wQdI,s3LkK7BuoC0,2Q-EaJspTwI,c5xzg9LZpWU,DPwA5VqDP2w,javzFEiQXQI,tJzeaRgCxWo,awqKxsgeKrs,uRmwqVOsg70,3cXql5BQHRc,APpGjYRG9hM,ZBM_1dZpluE,CVId0D9-WAE,aMh4VQBX2Ig"
UC78cxCAcp7JfQPgKxYdyGrg,emma chamberlain,1612441290,12000000,288,UU78cxCAcp7JfQPgKxYdyGrg,"ppMYKsrTauc,9LjVjVFUoTE,yy9njuICt_U,ZSUzODWPIdE,Iuet9k9_m8Q,NYEZGDRPUJo,MD35zQk7xYs,Xl1iR47dzes,-gBfn6LBh-E,0K27MiJZrRo,vLIreLOw2nM,_kJjvzC2QdI,PgTRc6MXFa4,38yZqeSJY4M,TIp_mBokspA,oNz4UlLyp5Y,cjkUrUEfzko,Nb1zIfaGCuA,UXe3votrOOs,L2o46HpfIYA,D3cQLBXJNNs,eE1Jr1dHP20,S4iDB9NhGck,F14Flnq3zCY,UNRCO3rNugs"
UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,20595879662,35600000,5513,UU7_YxT-KID8kRbqZo7MyscQ,"z6FOMX6HD1I,plmVksx5M4U,vVlaIT6BoCQ,Q4_JmPQDdak,Wy19_DNhMkQ,O-5BmqCBivA,FcfM8KMqlew,vJMHlQIJvHM,r36zLaNsF10,04eiGamSDk0,_sZBIWWPFUM,J5aUVxsLQkY,9DGNyqwKKjs,vrKCAUgIHxg,t1KNivLTyXc,0_LvWU8JfbQ,Jqf8Kg7lABM,3HOav96sQBA,BZQLUxMFZG4,PJg_rnK7TFo,DLk7nkxgsq8,qHpLCsZ2fTs,nPl6YGB5Ik0,Pqbwj386aj4,UAr9Z6mduPo"
UCWJ2lWNubArHWmf3FIHbfcQ,NBA,12779785424,20800000,51610,UUWJ2lWNubArHWmf3FIHbfcQ,"W2Y9dCMfsvM,mTpfo0MwKoI,NsqADSR57PA,5R9KPetjFZU,YqBv9_u-agw,-nWjPSlH56E,PkaAqV8LCV0,sPfCiLYqnjE,N2Zs7gVKqJg,fPPcQUTVTHI,T7ozeVaGxt4,IJkWaYQ07zg,UC1qlNcGU8k,OjQju8Ue7bQ,-e3cxKv6oQY,G1BCHFzFAM0,HZel4XNSbWY,SjSm1XMRqzE,uRO7YWdlhDo,b5m0ZF3BmtA,M0jegJigiWg,PyGZ-OqLHb8,lCmPxj-_mo8,dUZhcG5ZrDI,0gSJXpImqII"
