channelId,channelName,viewCount,subscriberCount,videoCount,uploads,videoIDs
UCbpMy0Fg74eXXkvxJrtEn3w,Bon Appétit,1806695724,6380000,1543,UUbpMy0Fg74eXXkvxJrtEn3w,"V1hN1ekwTP8,d8q6bC-pAF8,hktIRdd90g4,Jk90CG3WBy8,9Tc33xCppQo,kpMxAu0Z4AI,nADkm1GRYmM,-fBymc5rhOI,6F4NZrrP_QU,Kubkc6-lWMI,auAKqLwdpVA,b8WOul6xvc0,htoMZcPGeR4,qCVMqwEUtTc,g8RqHQKxl1g,aBky3gMiD6U,_ds8LINEokQ,a9zJFZeLbOo,tAZ_uPkqt40,lofKPYJi4To,E2g-QZG4Vbg,yLfnHL6oNXo,nRebRhmeMk0,Mnyw0Icz2d4,MX_8kaBydcU,bGMFXqd5xTM,FmdAVdPvHSQ,2HDdrYbVXTU,7upTPyRWmZY,734Ae5a9eDU,VTpu7_0vaGU,AdmfU3s_LNw,JZzgL6-rENE,IkZ7gD_CV0k,iLRU447RDFs,9u1e3JPlN_A,x64dJn1rf9c,p1NN-jCF9Hg,jsqmXVhjSdI,xqMKDiRH1R0,HJsx9MoqsKM,U42e0lLesms,TDQDs0qe9cs,5BjA7EJWNKw,MTbEoazlsVI,tot0YWgRn_w,JNQG3HRywRs,WVZCCCaacqs,GqM8zvpV7JM,oV2-37shWoI"
UCupvZG-5ko_eiXAupbDfxWw,CNN,14843457695,15700000,161812,UUupvZG-5ko_eiXAupbDfxWw,"dCgI8OoeZF8,LmVBYsZ4Cp8,gX_PhI5t3kE,5QqFweh3CC4,mzgcWRC-XmY,tmJf7cFKxik,8vcRh3_MeiA,RFuhdC-FoZI,dAUW_XftETg,QQE8xFhee0g,jwvsrybklf8,txWdiTQyW_w,NgKQlTcaOEg,-S-CE_zE5wk,3wipsTCKOSc,tlRBMKX3PWg,-nJ1csv3eX0,u1EYsf7b9_0,rlOLlJYnD_o,vqq1XO4aFjM,qdqqtQV5cMA,YZD1zpg9IZ4,DabsfBq4zHE,WNvowti4AAg,HnlI0ToSnro,KjA4Xz4bRU0,lGXgCyZvBzo,wWMB4FXNeI8,aCugwURWg7Q,Q0NQFeLzsd8,PGbUpo33Hvs,gji_20BZiDM,c3bTGgCfNyI,GrD5_VTzy5M,SR_EAWjPUM0,5PPA4qt0-nc,3YborCsNNTo,43exO3on0c0,zv2hjG8eRm0,9Pra0XtrEPA,6gpi9S7P_c8,FAPu4FLd2pk,bT08Rx1Oa5Y,Nnu2RRbiQOM,Xxha-gNzzts,6yPffnrBv_U,czQWZAaWlHA,OUWK4I_Vvuw,9Hh0yIQ0zoo,iRcw88_P3wM"
UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time,428817752,2960000,367,UU7_gcs09iThXybpVgjHZ_7g,"5e83QRGoRCo,ZLrMwDD8u_Q,BUHW1zlstVk,npynpWkUSYw,9F3WRMlZEy4,uvubLp5o5Wg,zUhOL38346Y,H6OmgXi1C-I,byN4S8WDPt8,Bw8b9YV0EPA,sWNTsKX5H5M,TbzZIMQC6vk,KrRvJUZaswo,kQNqmUZrEOk,Ia2GwIpEdk4,QMFLcmsjOBg,83vR9omSahs,OvPmwVzrI7M,R-eIUxwcQo4,eVoh27gJgME,EGe5qvIzjTY,OV9MnAZLmMQ,SN8nTQiWOYY,E8hyodMhbRw,1lPJ5SX5p08,469chceiiUQ,F__elfR3w8c,wnqPqV6DdFQ,Q7_uDhJq4G0,eyn7MusdQ9g,le_ORQZzkmE,CtmBZ-S2R30,prvXCuEA1lw,uTrFAY3LUNw,US7fEkBsy4A,PHiyQID7SBs,4d0EGIt1SPc,RCSSgxV9qNw,kw-Rs6I2H5s,z2yLMY6Mpw8,y1px8hBl7zg,WfSZutedqIQ,WZfmG_h5Oyg,184eP_KuXek,JnKzt6Xq-w4,rQnNghhPw6o,wdP_UDSsuro,epSev7ovVew,v-aP1J-BdvE,e3jGWXeBtPo"
UCIEv3lZ_tNXHzL3ox-_uUGQ,Gordon Ramsay,3941028890,20200000,1585,UUIEv3lZ_tNXHzL3ox-_uUGQ,"UNW_RWcqZeQ,-4o1IUdTojc,dvepSlTZh1c,XyqzcfTWygM,Iq-Bl6R4qpY,BzB8MIJw5iU,dioeqMxdd18,qPnLBqigrRY,C-sBuUMX9AU,eq2EwEw_-Ls,Sq5PqycZw6I,zyB_1KfDbq8,oBiqsRL_dvo,BLx8ZewfzFI,yyAhQbmzUTE,e4q3MdQ6a4o,Ttt4JmHZacM,RCkqPb1Yjc8,B7yRT8eoSbA,RHbl_FFxMZc,rsD8MP8A_mk,KHu-k8DNKIk,0tENhYWab0g,7u3pq1ZUSa0,2QMyUjkTYqY,HTKN3R5g9AA,Z2q3IHHZqq4,0dt81tZdn9g,NePJ1nCO-DA,-T4YpYJj4FU,tKPUQSB5444,V3fB4b8YneE,EvIT4jBcb98,F28GbHsfcik,t456vj9S1I8,_P3mezN24do,VBEW3wCiAyQ,ZKgKcG1lSoY,3qAIMwCFjz8,w8JdwLzV3-g,VuSdvpevaw0,kTWpoD7Fbhk,FMHbVmDUmXo,zvzQ7Q3ZjQI,UvB86QkW7zk,VxCwWa2Np9g,c_97jHyjIJY,4a7tdXDvU9Y,58ykCztzjdE,_PB2C8ivkms"
UCeY0bbntWzzVIaj2z3QigXg,NBC News,6348059328,9070000,57204,UUeY0bbntWzzVIaj2z3QigXg,"GE4FXNDAxG8,TsjVbJH6KXI,NkIeeHYzNpo,ubderM7G4hA,kIT_mkeVay0,2r9QxJp_508,NNJIL0zKS08,aq67QbKwIyI,EnC09XapurI,GE5gk-0qW8Q,TwoGXhSAMqs,2_RhFeEA9ZI,C1a5NWrT6n4,p4BEkj4mv_c,6gbEP70qsvc,kCstIyK9-Qk,F45tPdYBgpc,2VnjqZPsVlo,btnvEr10dsU,HbtvnT-BMvo,GzDV98iy78A,ANf6Tapf3Wk,zzMnWQTy40M,LRC-SIADKHs,2pia7PkXTvc,Oap20XgEmF0,bg3Gl8jMwcs,YlcfDLL8aSU,Bnabw9asNkY,oXHngx99JjE,BZRXi-3i05s,sErrmG4N99E,WijyW-jx6b8,bOCx-YlI8s0,VTeASKOCudI,vix7EQ5jiPo,88LSjAKyDjU,zZGtLXxQhjQ,ilZfxd96T5w,hDUyqa-OKY4,OX0-PaSKUEQ,WCzJtDY5AWs,cJVhtH_bALc,ur9zdgXyOrg,zZa2GdXr5j0,HplcdnGjcEw,_QF1UNYWWuA,hPpzh0LyWj0,OASbvpfBSeQ,DChe-C0Nkvg"
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,14184863896,48700000,77,UUiGm_E4ZwYSHV3bcW1pnSeQ,"0s4iFSbI7hA,CFPtKZ2jJLA,sOcH0GjO9o4,si324ldGs20,fwjSeWxToWI,HFCaXKxkhh8,wru6HFTY2ps,cNzH19D6s_I,vsyqua9MoWk,nWAEbsvfJ28,5g8snnQKFCU,L-pUXrRU7Xs,1CAUQN55vx8,-_aneXQXs48,tBYb1ir86mE,TA7M2pzGHco,e2vTv6dIvCE,5i5EkBWOC-8,Dv4BSdy_Hcs,-648PXv25Ww,zM5RmyBoq7M,bNZ9221zydA,3ai3pZvB5vE,goyFe9sMLQU,A4WSFJ-BxYA,wAm68ZIaHfg,dpnTd9Dx2OM,ZYCTAgFZ3kA,08K4_Fwhqgg,cW8VLC9nnTo,KNI70WWdFCM,jJcrkPCWuHk,eMD_XbJ1g1k,VpEITQDQRec,mDEiSrQ0fy4,pOX5Tdma0IE,LPY4jB2F9Go,P65tI0SOnY8,AlBc606v06U,UQphbBmXI-E,WyrZYGmoaFM,onT3z0lCZz8,_JGGLJMpVks,1TfDbTGTvcg,H_hgw-V-wBI,77UFV6FaDPo,-1U6jv6SzWY,h6mnfec7bTc,PebrOQm_SZQ,XPfW6mGx1SA"
UCsooa4yRKGN_zEE8iknghZA,TED-Ed,3755670961,19200000,2101,UUsooa4yRKGN_zEE8iknghZA,"LBALm7CeEG4,eBz7iUJu9UM,_EF4LXLxquM,TjPFZaMe2yw,e4Mj6wOURSg,RSbi3BC-N9k,JAyuHIthHco,2aEQDi2ZYCI,nLgt4Z5L8XI,V6rRifwIaio,PLmmb2f1fDk,ZY5PtopO-LI,MdM6osj5Jlg,YIYcrqBrq2U,Amkg1cdDCpM,urOkfsIRFlw,DgzxhDHjzms,wr6fQ4KpbRM,eY3_ZkQx5T4,eU2Efwlbm8s,YTAmyCgmrZE,mRa0Gi_mRjs,SYia4zqcE4g,LGpEbF4aZzs,iKYHf22qVdM,vc8UBSp1tz0,z-t-l8vjQQI,0rIjFCNay2Q,TyuGBi6joxY,Xn2H8oaeUgg,QF59xcceqrc,3GWqM-IoAgM,uDaFgNcTVSE,XLjdNXBZm3I,9sNpMb4M7XM,Ya9S6PyC1Sg,xDNzz8yAH7I,6LGCk08zMbg,kU8s_4HBG98,MF7EbUGlaOU,dhiWSsKUWEg,5D3hQS6ezXc,_XQTOuSw3d4,tJU3Q9nOPuc,GqZvqVfa1Zo,zpOoBtFNYuw,FBlcU4GdxCc,jDg8DQl7ZeQ,UsY-WfoKy80,wYQWh8VGL3M"
UCbochVIwBCzJb9I2lLGXGjQ,Rhett & Link,962213243,5060000,358,UUbochVIwBCzJb9I2lLGXGjQ,"WDTG3C7WFrQ,qANTqArg7DE,u27xck7C0Fg,N8H24r68Wt4,wCDdlt_rsZA,zWhTdQ3S11s,1rEroMYOJcw,s_KDD2YBn3k,XFgLJ2v7eB4,ZHh4lYwqSX4,mRzVZPQTiYo,qlnfU09h4l8,Pm61f0b2rec,fqia2YHB1Uw,7Rc6wAc5M6k,yMtYEoROelc,oD12nsmHibM,4lsvWiOb6oo,YAgiW7o6_Sk,fR2JCqvhXuc,AziHJWSyWkE,RiLQLIaZy4A,C4iygswf6us,p7fDQIEczS8,MDzgQOmHFXA,4ASbsgeF2Eo,uQK2eNTMXS4,jNZjHMU0yiI,W8Efo0XpHqA,x6-2N8XPYNI,DIsPAjsHIDc,XMzZO7GkGN0,9OXM3tZR6DE,suHdHxj68q8,7zaQaZy7B3I,0PxfU7bwh4g,UmxF8zNivmY,oyzf_esyO0g,wkdzAL4eKis,KrE6S47uqYM,cvcA8truev4,SzJYxMiOyO4,vIK2CYTS9zU,8Th9F9xUn5Y,gXKL4QR7w8o,vQEA5S4yvCI,uhKejRHODOM,fdf1AqxhVoM,agvt2eX-LZM,M2WTRqCu_DY"
UC91V6D3nkhP89wUb9f_h17g,MeatCanyon,1040521329,6360000,167,UU91V6D3nkhP89wUb9f_h17g,"gLusgWmu0Jc,EjuXQy1Iia8,1aqJzvXGu8s,rkMJCVjNtoM,3naNQulHmVM,Quhb0RMtfH4,C3mn6y2SR0c,vKLoV7Dhsc4,i6QxX83RdEI,Cc8MSB7rm7M,b3BJpO59F4g,T270v5VqfUI,kOSj5VSnIPA,M9Py_74mIhI,WIaV8IpzmxI,UFH1slEVeBk,Y_-GmJONl6c,1NzlCmr-nB8,Uig6djcy73c,m-0LNM7bsZc,KlWqqsmsks8,S3UFYROnTbo,5eI82NoasTM,3VRKJthNmWw,pqyhkMPFQqM,hGkvTFJENOg,1TrgJOwDzxU,Rwsqb4B1lKY,ZXsxj0_Vpis,GsrOV1Hw2nU,V8H2ETMpRFw,LBu1SKDNMEM,M-9USB_bcJA,C11FmkupWjw,ULc6z3EsXUs,yJZmY6mmnDE,VhgLyvP0Y5A,BJfEcPp2H6Q,iyHhbdOgxxQ,Z8KxE8iFhHI,2_a-CKrx4t0,Rp9fZGqG0Qo,2fDVXFlHtdE,B909vHT3wPM,lcrhgTWf02I,PZZjqcqkKtY,FgwfObY-WDQ,ZNJ2HLwEAJE,STMhBkjVBHs,61XieaDjy-Q"
UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,3871569483,18000000,644,UUo_IB5145EVNcf8hw1Kku7w,"YEe5ECbD1eg,ILFfj2zYwHY,Tqqsb0X3yHA,sop-IUjuRXo,Z9MP-Wh_Ips,gdrKuYwsq8s,gk3t-2GRD5Y,erPXjhwOH5c,vftqhmYoP-s,NREPxcpwGH4,lVTfifC0v-c,cQZBxqmKLYs,3XhQ8ATKPlc,F27h2JjkEPw,ndWWFXLj83w,Yh7pzqz5nE8,B4eF8n5FODM,x9QQmSj-Fpw,NwNz--ZCGs0,pHC2GAVccu4,hfy6X1VYIZI,d-mwOulfZ-w,tZkK7DdKD9I,cB6GMx3vW6A,lU_HMwOjgs0,4gWI0wkTpmc,ShNm4Vdsvzw,80CyuNEVgrw,vtPHHbeL-h0,oYNQO1mSzc8,wq1FgZy1LzE,kRsAOW2zE20,_G7PgI_2NKU,FaevWeQqBy0,scfWhZMgABE,WJlrwyNDjgY,yXjSnZb0eqY,kaKa6bnoXa8,sXbQoZnaNXY,LDF0ILdSyAw,zg-S-uflkz0,19IoUxjLswg,r1kyZ89EyIE,3dlcRz1vJ0g,0h-bNCw4Pyc,a9CUcy8HgKs,e5qbZoNNzts,CduxF1GQ1tI,Ay6J7rqFbKo,qGJLTDxnMs8"
UCTSRIY3GLFYIpkR2QwyeklA,Drew Gooden,797639776,4070000,147,UUTSRIY3GLFYIpkR2QwyeklA,"_9Z05Ik5r2U,HrjB_QYVGp8,Xc4YH0nv_90,DVa4tfzpZ90,6HEheIozS5c,5CRD9pmqa7s,iC97eT8W3Xg,wJRTM36jANc,gKgSvAyPFlU,Ws_YyegWGKY,caVoqAfdkYQ,sL-PL1hpnM0,YZDFAmaaa6E,BaVpeJlcQzg,k9J4H5gkLqw,1NEseESJK_4,28k53NsAcVg,x43XZudPuEQ,WbAuL4fg5LI,opHii8PBrQU,3HFi09o_iLU,ZteAovHJllk,kVNl1P9StSU,_lh-fm2vl_0,WU-7kn8EXWA,G_FUmf0T8YI,97Z3qSSbwkY,jygerYwwFwg,VpVRjP3I2oI,UTHKgVPZ-is,Ks5rAUSAiPw,uxo8kHgqYYg,OrgXCNzdkwA,vhuSnVFMDHk,AGjxX4gvaqk,8f-YvNffXb8,Xq45598A7Vc,waZyyWnNJ_Y,nXKbdG2qBJU,RXrK6t-Yzaw,ycdNmAGk2PQ,BfzXLjK6Pno,YAvs-RqTIhk,itWEMxATuJk,0EX3l7K8VMY,e0ClxU3uxQI,hsMujJYPagQ,WAsFLsG0qPY,OebE2GYtFkA,aSZrpi0wbPI"
UCoLrcjPV5PbUrUyXq5mjc_A,MLB,4435772993,4740000,291015,UUoLrcjPV5PbUrUyXq5mjc_A,"KKOAUFJp7tA,-MMT7s-dnE4,tXBpVKj_nek,JpYhJN1MJ_M,sGRvYMF0d_o,RKTJfBbDXu0,AF3MPxSFqRw,WpRDCFEMyJw,5EP5zVHnXJY,1XCYUbUpHpU,CZOY-x-rltA,a4vmEpHfBAk,IIZxDCYloVs,rb_gJKoytmU,66toTA8SkfU,irShtpHm1eU,WZV2z3pvPtY,lz3-s5Jk9uM,Jn864tDGs8E,HlRHLLMJojE,M8Zag4KlRPc,KXco2Up4_lY,r-h-FNLVb0Q,DZXyP0iFu00,IplPPQ9AG3M,897n06gs7eY,-PXRHmBZkz0,J7f9rtlwJV8,Fa--z4bRoUQ,ewyCg_lvL4E,LqC6qrx4dns,3lyhHx18G7k,X9BITbgi6cI,WhgRrfNSJHE,P7Ep4hjd760,-gxO3GfWrNo,TbuIWP0rTqU,bBsiH0oHyi4,mb4NWa9o_uY,jq0Z5uPh8To,nk3k5ZJi4bg,GziuESakeLE,20eND0J9wKo,j-drHtYKios,yLiycZb22PY,octW0ou7G_I,Xzwq2WNQUvw,BtLAVfJvdIE,R2jgp4D5g18,KgxAL2GywFc"
UC8p1vwvWtl6T73JiExfWs1g,CBS News,4621122530,5350000,115284,UU8p1vwvWtl6T73JiExfWs1g,"GDJpaTbqPO8,YJf1UGnAAJo,6KhLpXjLP58,ujqUNA5pqNM,92HlaEvLmgM,XJxWWZgkKRQ,MuyqWhbRyXY,FavlEj4ACPM,BkNS7dl8RuY,BibOzNCx9uE,inKf0LiGVOM,jPNl_AjiA6o,Q6LUiL6x_PY,VQRflQsikTM,PEl8ktNUxac,6L-1aVKXamw,9ncf2ZDu-YU,mDR1KLEv8w8,eLCtq1CLDDc,_vl-wH3xoCg,yZoxWYG1VYo,3NlF_asfdm4,BaGYH4lWmTQ,MC1Nv_5KtLw,btsZOFmeKY4,Ag-Ch5rUWlU,jCGGFidIt7s,1GzeQaiWO3c,IPpDWGzoQMU,P4Fbx09qHG0,PUHHhEETxqQ,lOkTVn15tnk,8GKNXjxvur8,AtQ3S_2fsKY,3H_L7iPEEgg,W5m_9-Fi0y0,AG-OqgQ7RBY,-fDAAn6DiY0,AWvZfBENJmk,2YXAcr-X1pA,GwWAo1teeMo,AVH2oYN7OM8,70WkpFPSRJk,wVM9jX9M7kM,6z1nIeiPrrs,TKWCGR7Kz94,6jyha5I_SOc,aBmgParyXNo,Om-NIqO7fBA,ivT_4Lla8VU"
UCSUf5_EPEfl4zlBKZHkZdmw,Danny Gonzalez,1466205825,6310000,280,UUSUf5_EPEfl4zlBKZHkZdmw,"scg2kU1pHc4,t_bFzKZcPNg,1fIRv1mG3DY,7Mjt88HIXZY,mShDN5QxcMM,G09W3NwwAVs,-R36NON7a2I,ZdcjEIaior0,m8LBvGX2hCQ,smmnfFfJS7w,kEnh_5z4I7w,EuISxGGBflY,6sh2Ib3DklI,_tgGmYerbB4,zCoMjByGJZw,H2fHTJZqaKA,uubMLkM5L9E,KXDWjYWlqpQ,AivQBXds-r0,lDkGLFGbTsE,fSlAuweAhsA,2SKUPy0SlHQ,ypoP8LE-oMQ,My-wATP3kLE,GGGlbe2y5jE,DUqcrdEZopY,aDtnSrGq9dM,cKCQUbVx4mo,38ExeUlbH2k,vlT3zUrRT6c,wUSKQ08A7UY,O2Fft4QLDbU,Hyd5T_I1Qvk,5zZk0NPxiGM,0NYEVhcm6i0,_8bzFEBTTvI,H1tQhK0n5Qk,iji6xzorcqc,fkrE5J1qZ-0,Ud6JonLO29o,Q3tSVS4CeW4,iO8la7BZUlA,tt-BXsEehnA,qa66sMRh2MU,SpmHLq-LP58,lbRXd3KAEGk,QBZHTAa7vfM,w_6HHWCdl7w,_OKk0wFojB8,Cf9yxV1UG60"
